;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface MutationEvent;Interface MutationEvent;Interface MutationEvent;Interface MutationEvent;Interface MutationEvent;Interface MutationEvent;Interface MutationEvent;Interface MutationEvent
relatedNode;DOM2;No;No;1.0;?;?;1.0
prevValue;DOM2;No;No;1.0;?;?;1.0
newValue;DOM2;No;No;1.0;?;?;1.0
attrName;DOM2;No;No;1.0;?;?;1.0
attrChange;DOM2;No;No;1.0;?;?;1.0
initMutationEvent;DOM2;No;No;1.0;?;?;1.0
Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent;Events for interface MutationEvent
DOMSubtreeModified;DOM2;5.0[t 7];No;1.9;Yes;Partial;No
DOMNodeInserted;DOM2;5.0[t 7];No;1.0;Yes;No;1.0
DOMNodeRemoved;DOM2;5.0[t 7];No;1.0;Yes;No;1.0
DOMNodeRemovedFromDocument;DOM2;5.0[t 7];No;No[g 11];Yes;No;1.0
DOMNodeInsertedIntoDocument;DOM2;5.0[t 7];No;No[g 11];Yes;Yes;1.0
DOMAttrModified;DOM2;5.0[t 7];No;1.0;No;No;1.0
DOMCharacterDataModified;DOM2;5.0[t 7];No;1.0;Yes;No;1.0
Events for HTML;Events for HTML;Events for HTML;Events for HTML;Events for HTML;Events for HTML;Events for HTML;Events for HTML
load;DOM2;4.0;Yes;1.0;?;?;2.0
unload;DOM2;4.0;Yes;1.0;?;?;2.0
abort;DOM2;4.0;Yes;1.0;?;?;No
error;DOM2;4.0;Yes;1.0;?;?;2.0
select;DOM2;4.0;Yes;1.0;?;?;2.0
change;DOM2;4.0;Yes;1.0;?;?;2.0
submit;DOM2;4.0;Yes;1.0;?;?;2.0
reset;DOM2;4.0;Yes;1.0;?;?;2.0
focus;DOM2;4.0;Yes;1.0;?;?;2.0
blur;DOM2;4.0;Yes;1.0;?;?;2.0
resize;DOM2;4.0;Yes;1.0;?;?;2.0
scroll;DOM2;4.0;Yes;1.0;?;?;2.0
