;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData
data;DOM1;4.0;Yes;1.0;Yes;?;1.0
length;DOM1;4.0;Yes;1.0;Yes;?;1.0
substringData();DOM1;4.0;Yes;1.0;Yes;?;1.0
appendData();DOM1;4.0;Yes;1.0;Yes;?;1.0
insertData();DOM1;4.0;Yes;1.0;Yes;?;1.0
deleteData();DOM1;4.0;Yes;1.0;Yes;?;1.0
replaceData();DOM1;4.0;Yes;1.0;Yes;?;1.0
Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr
name;DOM1;6.0;?;1.0;Yes;Yes;1.0
value;DOM1;6.0;?;1.0;Yes;Yes;1.0
specified;DOM1;Incorrect;Incorrect;1.9.1;Yes;Yes;1.0
ownerElement;DOM2;9.0[t 3];?;1.0;Yes;Yes;1.0
schemaTypeInfo;DOM3;No;No;No;No;?;No
isId;DOM3;No;No;1.9;No;No;No
Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element
tagName;DOM1;4.0;Yes;1.0;Yes;Yes;1.0
getElementsByTagName();DOM1;4.0;Yes;1.0;Yes;Yes;1.0
getAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
setAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
removeAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
getAttributeNode();DOM1;6.0;Yes;1.0;Yes;Yes;1.0
setAttributeNode();DOM1;9.0[t 3];Yes;1.0;Yes;Yes;1.0
removeAttributeNode();DOM1;9.0[t 3];Yes;1.0;Yes;Yes;1.0
normalize();DOM1;9.0[t 3];Yes;1.0;No;?;1.0
getAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
setAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
removeAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
getAttributeNodeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
setAttributeNodeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
getElementsByTagNameNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
hasAttribute();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
hasAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
schemaTypeInfo;DOM3;No;No;No;No;?;No
setIdAttribute();DOM3;No;No;No;No;?;No
setIdAttributeNS();DOM3;No;No;No;No;?;No
setIdAttributeNode();DOM3;No;No;No;No;?;No
Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text
splitText();DOM1;9.0[t 3];Yes;1.0;Yes;?;1.0
isElementContentWhitespace;DOM3;No;No;1.9.1;No;?;Yes
wholeText;DOM3;9.0[t 3];No;1.9.1;No;?;2.1
replaceWholeText();DOM3;9.0[t 3];No;1.9.1;No;?;2.1
Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment
(no properties);DOM1;6.0;No;1.0;Yes;?;1.0
Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo
typeName;DOM3;No;No;No;No;No;No
typeNamespace;DOM3;No;No;No;No;No;No
isDerivedFrom();DOM3;No;No;No;No;No;No
Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler
handle();DOM3;No;No;No;No;No;No
Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError
severity;DOM3;No;No;No;No;No;2.0
message;DOM3;No;No;No;No;No;2.0
type;DOM3;No;No;No;No;No;2.0
location;DOM3;No;No;No;No;No;2.0
relatedData;DOM3;No;No;No;No;No;2.0
relatedException;DOM3;No;No;No;No;No;No
Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler
handleError();DOM3;No;No;No;No;No;2.0
Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator
lineNumber;DOM3;No;No;No;No;No;2.0
columnNumber;DOM3;No;No;No;No;No;2.0
byteOffset;DOM3;No;No;No;No;No;2.0
utf16Offset;DOM3;No;No;No;No;No;2.0
relatedNode;DOM3;No;No;No;No;No;2.0
uri;DOM3;No;No;No;No;No;2.0
Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration
parameterNames;DOM3;No;No;No;No;?;2.0
setParameter();DOM3;No;No;No;No;?;2.0
getParameter();DOM3;No;No;No;No;?;2.0
canSetParameter();DOM3;No;No;No;No;?;2.0
