Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);Cache (KiB);Cache (KiB);Cache (KiB);Memory Controller;Features;Features;Features
Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);L1;L2;L3;Memory Controller;SIMD;Speed/Power;Other
K8;Athlon 64 X2;Brisbane;3600+, 3800+, 4000+, 4200+, 4400+, 4600+, 4800+, 5000+, 5200+, 5400+, 5600+, 5800+, 6000+;1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100;Socket AM2;65;2;1000;64+64;512 PC, FS;;DDR2;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX Bit, AMD-V
K8;Sempron;Paris;3000+;1800;Socket 754;130;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;NX Bit
K8;Sempron;Paris;3100+;1800;Socket 754;130;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;NX Bit
K8;Sempron;Palermo;2500+;1400;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];;AMD64,[4] NX Bit
K8;Sempron;Palermo;2600+;1600;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];;AMD64,[4] NX Bit
K8;Sempron;Palermo;2800+;1600;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];;AMD64,[4] NX Bit
K8;Sempron;Palermo;3000+;1800;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];Cool'n'Quiet;AMD64,[4] NX Bit
K8;Sempron;Palermo;3100+;1800;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];Cool'n'Quiet;AMD64,[4] NX Bit
K8;Sempron;Palermo;3300+;2000;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];Cool'n'Quiet;AMD64,[4] NX Bit
K8;Sempron;Palermo;3400+;2000;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3[4];Cool'n'Quiet;AMD64,[4] NX Bit
K8;Sempron;Palermo;3000+;1800;Socket 939;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64,[4] NX Bit
K8;Sempron;Palermo;3200+;1800;Socket 939;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64,[4] NX Bit
K8;Sempron;Palermo;3400+;2000;Socket 939;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64,[4] NX Bit
K8;Sempron;Palermo;3500+;2000;Socket 939;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64,[4] NX Bit
K8;Sempron;Manila;2800+, 3200+, 3500+;1600, 1800, 2000;Socket AM2;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX bit
K8;Sempron;Manila;3000+, 3400+, 3600+, 3800+;1600, 1800, 2000, 2200;Socket AM2;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX bit
K8;Sempron;Sparta;LE-1100, LE-1150;1900, 2000;Socket AM2;65;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX bit
K8;Sempron;Sparta;LE-1200, LE-1250, LE-1300;2100, 2200, 2300;Socket AM2;65;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;Cool'n'Quiet;AMD64, NX bit
K8;Mobile Athlon 64;Clawhammer;2700+;1600;Socket 754;130;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Athlon 64;Clawhammer;2800+, 3000+, 3200+, 3400+, 3700+;1600, 1800, 2000, 2200, 2400;Socket 754;130;1;800;64+64;1024;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Athlon 64;Odessa;2700+, 2800+, 3000+;1600, 1800, 2000;Socket 754;130;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Athlon 64;Oakville;2700+, 2800+, 3000+;1600, 1800, 2000;Socket 754;90;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Athlon 64;Newark;3000+, 3200+, 3400+, 3700+, 4000+;1800, 2000, 2200, 2400, 2600;Socket 754;90;1;800;64+64;1024;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Dublin;;1600, 1800;Socket 754;130;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Dublin;;1600;Socket 754;130;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Georgetown;;1600, 1800, 2000;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Georgetown;;1600, 1800;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Sonora;;1600, 1800;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Sonora;;1600, 1800;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2;;AMD64, NX bit
K8;Mobile Sempron;Albany;;1800, 2000, 2200;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Mobile Sempron;Albany;;1800, 2000;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Mobile Sempron;Roma;;1800, 2000;Socket 754;90;1;800;64+64;128;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Mobile Sempron;Roma;;1600, 1800, 2000;Socket 754;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Mobile Sempron;Keene;;1800, 2000;Socket S1;90;1;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;PowerNow!;AMD64, NX bit
K8;Mobile Sempron;Keene;;1600, 1800, 2000;Socket S1;90;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;PowerNow!;AMD64, NX bit
K8;Turion 64;Lancaster;MT-28, MT-32, ML-42;1600 1800, 2400;Socket 754;90;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Turion 64;Lancaster;MT-30, MT-34, MT-37, MT-40, ML-44;1600, 1800, 2000, 2200, 2400;Socket 754;90;1;800;64+64;1024;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Turion 64;Richmond;MK-36, MK-38;2000, 2200;Socket 754;90;1;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64, NX bit
K8;Turion 64 X2;Taylor;TL-50;1600;Socket S1;90;2;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64 NX bit
K8;Turion 64 X2;Trinidad;TL-52, TL-56, TL-60, TL-64;1600, 1800, 2000, 2200;Socket S1;90;2;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64 NX bit
K8;Turion 64 X2;Tyler;TK-53, TK-55, TK-57;1700, 1800, 1900;Socket S1;65;2;800;64+64;256;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64 NX bit
K8;Turion 64 X2;Tyler;TL-56, TL-58, TL-60, TL-62, TL-64, TL-66, TL-68;1800, 1900, 2000, 2100, 2200, 2300, 2400;Socket S1;65;2;800;64+64;512;;;MMX, 3DNow!+, SSE, SSE2, SSE3;;AMD64 NX bit
K10;Opteron;Barcelona;;1700-2500;Socket F;65;4;1000;64+64;256, 512;2048;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V, ccNUMA
K10;Opteron;Budapest;;1700-2500;Socket AM2;65;4;1000;64+64;256, 512;2048;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10;Phenom;Agena;9100e,9150e, 9350e, 9450e, 9500, 9550, 9600, 9600B, 9600BE, 9650, 9670, 9750, 9750B, 9850, 9850B 9850BE, 9950BE;1800-2600;Socket AM2+;65;4;1600, 1800, 2000;64+64;512;2048;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10;Phenom;Toliman;8250e, 8400, 8450, 8450e, 8550, 8600, 8600B, 8650, 8750, 8750B, 8750BE, 8850;1900-2500;Socket AM2+;65;3;1600, 1800;64+64;512;2048;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10;Athlon X2;Kuma;6500BE;2300;Socket AM2+;65;2;1600, 1800;64+64;1024;;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10;Athlon X2;Kuma;7450, 7550, 7750BE, 7850BE;2400-2800;Socket AM2+;65;2;1600, 1800;64+64;1024;2048;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10;Athlon;Lima;;2400–2700;Socket AM2+;65;1;1600, 1800;64+64;512, 1024;;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
