No horns or excessive motor noise; ;NOTUSED; ; ; ;NOTUSED; ; ; ;NOTUSED;NOTUSED;NOTUSED; ; ;NOTUSED; ; ; ; ; ; ; ; ;NOTUSED;REPLACEDby signno. 4.14; ; ;NOTUSED
;Austria;Belgium;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia&Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland&Liechtenstein;Turkey;Ukraine;UnitedKingdom
No overtaking; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;or; ; ; ; ; ; ; ; ; ; 
No overtaking by heavy goods vehicles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;NOTUSED
Maximum speed limit; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Speed limit zone; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;or; ; ; 
Maximum height; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maximum width; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maximum vehicle length;or; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;and/or
Maximum weight; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;or; ; ; ; ; ; ; ; ; ; ; ; 
Maximum weight per axle; ;NOTUSED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;NOTUSED
Maximum weight per tandem axle;NOTUSED;NOTUSED;NOTUSED; ; ; ;NOTUSED;NOTUSED;NOTUSED;NOTUSED;NOTUSED;NOTUSED;NOTUSED; ;NOTUSED; ;NOTUSED;NOTUSED;or;NOTUSED;NOTUSED;NOTUSED;NOTUSED; ; ;NOTUSED;NOTUSED;NOTUSED
;Austria;Belgium;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia&Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland&Liechtenstein;Turkey;Ukraine;UnitedKingdom
No vehicles carrying dangerous goods; ;or; ; ; ; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;(tunnel restrictions only)
No vehicles carrying dangerous water pollutants; ; ; ;NOTUSED;NOTUSED;NOTUSED; ; ; ; ; ;NOTUSED; ; ;NOTUSED;NOTUSED; ; ; ;NOTUSED; ; ; ;NOTUSED; ; ; ;NOTUSED
No vehicles carrying explosives;NOTUSED; ;NOTUSED;NOTUSED;NOTUSED;NOTUSED; ; ; ; ;NOTUSED; ; ; ;NOTUSED;NOTUSED; ; ; ; ;NOTUSED; ; ; ; ; ; ; 
Minimum safe following distance between vehicles; ;NOTUSED; ; ; ; ; ; ; ;or; ;NOTUSED; ; ;NOTUSED;NOTUSED; ; ; ; ; ; ; ; ; ; ; ; 
No right turn; ; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ; ; ; ; ; ; ; 
No left turn; ; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ; ; ; ; ; ; ; 
No U-turn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No parking or waiting; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No stopping; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No parking zone; ; ; ; ; ; ; ; ; ; ; ; ;NOTUSED; ; ; ; ; ; ; ; ; ; ; ;or; ; ; 
;Austria;Belgium;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia&Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland&Liechtenstein;Turkey;Ukraine;UnitedKingdom
