 ;Stream Management;Draft;Yes;No;No;Yes;Yes;Yes;Yes;Partial;Yes;Yes
 ;XMPP Ping;Final;Yes;Yes;Yes;Yes;Yes;Yes;Yes;unk;Yes;Yes
 ;Entity Time;Final;Yes;unk;unk;Yes;Yes;No;Yes;unk;Yes;unk
 ;Delayed Delivery;Final;Yes;unk;unk;Yes;Yes;Yes;Yes;Yes;Yes;Yes
 ;Best Practices to Discourage Denial of Service Attacks;Approved;Partial;Yes;unk;Yes;Yes;No;Partial;unk;No;unk
 ;XMPP over BOSH;Draft;Yes;unk;unk;No;Yes;No;Yes;unk;Yes;Yes
 ;Metacontacts;Deferred;unk;unk;unk;Yes;Yes;No;Yes;unk;Yes;unk
 ;XMPP Basic Server 2008;Obsolete;Yes;unk;unk;Yes;unk;Yes;Yes;unk;Yes;unk
 ;File Repository and Sharing;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;External Service Discovery;Deferred;No;No;unk;No;Yes;No;No;unk;No;unk
 ;XMPP Intermediate IM Server 2008;Obsolete;Yes;unk;unk;Yes;unk;No;Yes;unk;Yes;unk
 ;Server Dialback;Draft;unk;unk;unk;Yes;Yes;Yes;unk;unk;Yes;Yes
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
 ;Data Forms Media Element;Draft;unk;unk;unk;No;No;No;unk;unk;No;unk
 ;Persistent Storage of Private Data via PubSub;Approved;Yes;Yes;unk;No;Yes;No;No;unk;No;unk
 ;Component Connections;Deferred;No;unk;unk;Yes;No;No;No;unk;No;Yes
 ;Portable Import/Export Format for XMPP-IM Servers (proposed);Draft;Yes;unk;unk;No;No;Yes;No;unk;Yes;unk
 ;Service Discovery Notifications;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Software Information;Deferred;unk;unk;unk;Yes;No;No;No;unk;No;unk
 ;Use of Domain-Based Service Names in XMPP SASL Negotiation;Draft;unk;unk;unk;No;No;No;No;unk;No;unk
 ;OAuth Over XMPP;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Abuse Reporting;Retracted;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Roster Versioning;Obsolete;Yes;unk;unk;Yes;Yes;Yes;Yes;unk;Yes;Yes
 ;XMPP Protocol Flows for Inter-Domain Federation;Deferred;unk;unk;unk;Yes;unk;No;unk;unk;unk;unk
 ;Encryption of Archived Messages;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;XMPP Server Compliance 2009;Obsolete;Yes;unk;unk;Yes;Yes;Yes;Yes;unk;Yes;unk
 ;PubSub Collection Nodes;Deferred;Yes;unk;unk;No;No;No;No;unk;No;Partial
 ;BOSH Script Syntax;Deferred;unk;unk;unk;No;Yes;No;No;unk;No;unk
 ;PubSub Chaining;Deferred;unk;unk;unk;No;No;No;No;unk;No;Partial
 ;PubSub Queueing;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Location Query;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Last Activity in Presence;Draft;unk;unk;unk;No;No;No;unk;unk;No;unk
 ;Client Certificate Management for SASL EXTERNAL;Deferred;unk;unk;unk;No;No;No;No;unk;Contrib.;unk
 ;Security Labels in XMPP;Draft;unk;unk;unk;unk;unk;Yes;No;unk;Contrib.;unk
 ;Message Mine-ing;Deferred;unk;unk;unk;No;No;No;No;unk;No;unk
 ;Incident Handling;Deferred;unk;unk;unk;unk;Yes;No;No;unk;Contrib.;unk
 ;XMPP Compliance Suites 2010;Obsolete;Yes;unk;unk;No;Yes;Yes;Yes;unk;unk;unk
 ;Stanza Interception and Filtering Technology (SIFT);Deferred;unk;unk;unk;unk;Partial;No;No;unk;Contrib.;unk
 ;Jingle Relay Nodes;Experimental;Yes;unk;unk;No;Yes;No;No;unk;unk;unk
 ;Server IP Check;Deferred;Yes;unk;unk;No;Yes;No;Yes;unk;Contrib.;unk
 ;Message Carbons;Experimental;Yes;unk;unk;unk;Yes;No;Yes;Yes;Yes;Yes
 ;Bidirectional Server-to-Server Connections;Draft;unk;unk;unk;unk;Yes;Yes;No;unk;unk;unk
 ;Federated MUC for Constrained Environments;Deferred;unk;unk;unk;unk;No;Yes;No;unk;unk;unk
 ;XMPP Compliance Suites 2012;Obsolete;Yes;unk;unk;unk;Yes;No;Yes;unk;unk;unk
 ;Service Directories;Deferred;unk;unk;unk;unk;Yes;unk;No;unk;Contrib.;unk
 ;Message Archive Management;Experimental;Yes;unk;unk;unk;Yes;No;Yes;Yes;Yes;unk
 ;Remote Roster Management;Deferred;Yes;unk;unk;unk;unk;unk;No;unk;unk;unk
 ;Push Notifications;Experimental;Contrib;unk;No;No;unk;No;No;No;Contrib.;unk
 ;HTTP File Upload;Experimental;Contrib;unk;No;No;unk;No;No;Yes/Plugin;Yes;unk
 ;XMPP Compliance Suites 2016;Experimental;Contrib;unk;unk;unk;Yes;unk;unk;unk;unk;unk
 ;Pubsub Account Management;Deferred;Contrib;unk;unk;unk;unk;unk;unk;unk;unk;unk
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
