 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
Mobile;Celeron N4000;Gemini Lake  (Gen9LP);3185;Skylake  (Gen9);200;384:48:6  (GT3);650;96:12:2;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;12;4.5Windows  4.5Linux  ES3.2Linux
1.2Windows  2.0Linux;2016;1.1Windows  1.1Linux;-;Skylake  (Gen9);38.4;Celeron N4100;700;Desktop;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Celeron J4005;250
Iris Pro Graphics 580;2016;Mobile;193B;Skylake  (Gen9);350;576:72:9  (GT4);700;Celeron J4105;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;750;UHD Graphics 605
Iris Pro Graphics 580;2016;Mobile;193B;Skylake  (Gen9);350;576:72:9  (GT4);Mobile;Pentium Silver N5000;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;3184;200
Iris Pro Graphics 580;2016;Mobile;193B;Skylake  (Gen9);350;576:72:9  (GT4);750;144:18:3;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;38.4;Desktop
Iris Pro Graphics 580;2016;Pentium Silver J5005;193B;Skylake  (Gen9);350;576:72:9  (GT4);250;800;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;HD Graphics 610;2017
Iris Pro Graphics 580;2016;Desktop;193B;Skylake  (Gen9);350;576:72:9  (GT4);Mobile;Celeron 3865U  Celeron 3965U;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Kaby Lake  (Gen9p5);5906
300;2016;900;96:12:2  (GT1);Skylake  (Gen9);12  FL12_1;576:72:9  (GT4);4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;1.1Windows  1.1Linux;-
Iris Pro Graphics P580;2016;34.1;193D;Skylake  (Gen9);Pentium 4415U;576:72:9  (GT4);950;Desktop;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Celeron G3930TE;5902
Iris Pro Graphics P580;2016;Mobile  Workstation;193D;Skylake  (Gen9);350;576:72:9  (GT4);950;Celeron G3930E  Celeron G3930T;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;1000;Celeron G3930  Celeron G3950
